# equipment,fully equipped gym,# fitness_goal,muscle building,# workout_type,split,# gender,women,# training_level,beginner,# days_per_week,4
filename,title,url
workouts__8-week-womens-workout-routine__b4cefa79d3.html,Women’s Workout Routine: 8 Week Sample Workout for Women,https://www.muscleandstrength.com/workouts/8-week-womens-workout-routine
workouts__women-over-40__7141a7421a.html,10-Week Lean & Strong Program for Women 40+ | Muscle & Strength,https://www.muscleandstrength.com/workouts/women-over-40
