# equipment,fully equipped gym,# fitness_goal,muscle building,# workout_type,split,# gender,both,# training_level,beginner,# days_per_week,4
filename,title,url
content__8-week-muscle-building-program-adults-40__4677fe1145.html,8-Week Muscle Building Program for Adults 40+ | Muscle & Strength,https://www.muscleandstrength.com/content/8-week-muscle-building-program-adults-40
workouts__4-day-machine-only-workout__f23f6f65f6.html,Machine Only Workout: 4 Day Workout Split,https://www.muscleandstrength.com/workouts/4-day-machine-only-workout
workouts__8-week-mass-building-workout-for-beginners__f4835a234f.html,8 Week Mass Building Workout for Beginners | Muscle & Strength,https://www.muscleandstrength.com/workouts/8-week-mass-building-workout-for-beginners
workouts__stronger-together-parent-teen-workout__65bbcbd6cd.html,Stronger Together: 8-Week Parent & Teen Workout Program | Muscle & Strength,https://www.muscleandstrength.com/workouts/stronger-together-parent-teen-workout
workouts__upper-lower-4-day-gym-bodybuilding-workout__8b62950430.html,Upper/Lower 4 Day Bodybuilding Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/upper-lower-4-day-gym-bodybuilding-workout
