# equipment,fully equipped gym,# fitness_goal,muscle building,# workout_type,single muscle group,# gender,both,# training_level,advanced,# days_per_week,1
filename,title,url
workouts__28-plateau-busting-chest-workout.html__b30f5654fd.html,4 Week Plateau Busting Chest Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/28-plateau-busting-chest-workout.html
workouts__4-week-absolute-leg-carnage-workout__16e6223219.html,4 Week Absolute Leg Carnage Workout,https://www.muscleandstrength.com/workouts/4-week-absolute-leg-carnage-workout
workouts__4-week-arm-ageddon-blast-arm-workout__422bdd6be0.html,4 Week Arm-Ageddon Blast Arm Workout,https://www.muscleandstrength.com/workouts/4-week-arm-ageddon-blast-arm-workout
workouts__4-week-shoulder-shocker-workout__1d5c1a290e.html,4 Week Shoulder Shocker to Ignite Muscle Growth,https://www.muscleandstrength.com/workouts/4-week-shoulder-shocker-workout
workouts__increase-your-wingspan-workout__8469c11463.html,The Perfect Back Workout to Increase Your Wingspan,https://www.muscleandstrength.com/workouts/increase-your-wingspan-workout
