# equipment,fully equipped gym,# fitness_goal,muscle building,# workout_type,single muscle group,# gender,both,# training_level,intermediate,# days_per_week,2
filename,title,url
workouts__2-weekly-workouts-for-larger-legs__f69e6a19e7.html,2 Weekly Workouts for Larger Legs,https://www.muscleandstrength.com/workouts/2-weekly-workouts-for-larger-legs
workouts__cobra-back-workout__fde60d225b.html,The Cobra Workout: Heavy High Volume Back Program,https://www.muscleandstrength.com/workouts/cobra-back-workout
workouts__guns-a-blazing-workout__9e17f80a6b.html,"The ""Guns-A-Blazing"" Arm Training Workout Routine",https://www.muscleandstrength.com/workouts/guns-a-blazing-workout
workouts__increasing-intensity-circuit-abs-workout__9b12573eda.html,Increasing Intensity Circuit Abs Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/increasing-intensity-circuit-abs-workout
