# equipment,home / small gym,# fitness_goal,muscle building,# workout_type,single muscle group,# gender,both,# training_level,beginner,# days_per_week,4
filename,title,url
workouts__18-week-chin-up-dip-program-upper-body__25fd555c1c.html,18 Week Chin Up & Dip Program For An Impressive Upper Body | Muscle & Strength,https://www.muscleandstrength.com/workouts/18-week-chin-up-dip-program-upper-body
workouts__cory-gregory-brick-soup-abs-routine__6c91e6c74a.html,"Cory Gregory's ""Make Your Own Brick Soup"" Ab Workout",https://www.muscleandstrength.com/workouts/cory-gregory-brick-soup-abs-routine
