# equipment,fully equipped gym,# fitness_goal,muscle building,# workout_type,split,# gender,both,# training_level,beginner,# days_per_week,3
filename,title,url
workouts__3day-beginners-workout.html__ab604982bd.html,3 Day Muscle Building Workout For Beginners | Muscle & Strength,https://www.muscleandstrength.com/workouts/3day-beginners-workout.html
workouts__machines-only-3-day-split__0e079c7269.html,Machine Only Workout: A 3 Day Workout Split,https://www.muscleandstrength.com/workouts/machines-only-3-day-split
workouts__mountain-dog-ppl-workout__315ac84310.html,"Mountain Dog PPL: Push, Pull, Legs Workout Routine w/ John Meadows",https://www.muscleandstrength.com/workouts/mountain-dog-ppl-workout
