# equipment,fully equipped gym,# fitness_goal,muscle building,# workout_type,full body,# gender,women,# training_level,beginner,# days_per_week,3
filename,title,url
workouts__8-week-full-body-womens-workout-routine__191d496b79.html,8 Week Full Body Workout Routine for Women,https://www.muscleandstrength.com/workouts/8-week-full-body-womens-workout-routine
workouts__full-body-smith-machine-workout__2d3fc9cd22.html,3 Day Smith Machine Only Workout for Women | Muscle & Strength,https://www.muscleandstrength.com/workouts/full-body-smith-machine-workout
