canonical_name,slug,used_in_n_workout_slots,aliases,exercise_url
Dumbbell Bench Press,dumbbell-bench-press,76,2. Dumbbell Bench Press; 1. Dumbbell Bench Press; Flat Dumbbell Press; A1. Dumbbell Bench Press; 4. Dumbbell Bench Press; Dumbbell Flat Press; Dumbbell Bench Press - Muscle; Flat Bench Dumbbell Press; Dumbbell Bench Press or Incline Dumbbell Bench Press; Dumbbell Bench Press*; Dumbbell Bench Press (Drop Set); Dumbbell Bench Press (on the floor); B1. Dumbbell Bench Press; Flat DB Press; 3. Dumbbell Bench Press; Flat Dumbbell Bench Press; 2a. Dumbbell Bench Press; 2a. Dumbbell Flat Bench Press; Superset: Flat bench dumbbell press and wide-grip pull-up; Dumbbell Bench Press (triset #1); Dumbbell Bench Press - Week 1; Dumbbell Bench Press *; 2. Flat Bench Dumbbell Press; 10. Dumbbell Press; a. Dumbbell Chest Press; 3b. Dumbbell Bench Press; Dumbbell Bench; 2. Dumbbell Bench; 1a. Dumbbell Bench Press,https://www.muscleandstrength.com/exercises/dumbbell-bench-press.html
Push Up,push-up,74,"Push-Up; Push Ups; Pushups; Push-Ups; A2. Push Up; 3. Push Up; 2a. Push Up; A3. Push Up; Push-ups on dumbbells; A4. Push Up; 5b. Pushup; Pushups (drop to knees, if needed); Band Pushup; 2d. Push Up; Push Up**; F. Push Ups; Push Ups (On knees if needed); B2. Push Up; 11d. Pushups; 1a. Push Up; 1a. Pushup; Superset: Push-up and pull-up; Superset: 3-way push-up and chest-to-bar pull-up; Push Ups (2/3/1 Tempo); 5. Pushups; 5. Push Up; 3c. Push Ups; A2. Push Ups; Push Up (knees + 10 sec) 3; Push Ups (any variation)",https://www.muscleandstrength.com/exercises/push-up.html
Leg Extension,leg-extension,72,Leg Extensions; 3. Leg Extension; 2. Leg Extensions; Dumbbell Leg Extension; 3. Leg Extensions; Leg Extension (superset #1); Leg extension; 4. Leg Extensions; A2. Leg Extensions; A1. Leg Extensions; Seated Leg Extensions; 1a. Leg Extension; Leg Extension (triset #1); 4. Leg Extension; 3a. Leg Extension; Leg Extensions (Drop set); 2b. Leg Extension; Leg Extensions - 3 sec negative,https://www.muscleandstrength.com/exercises/leg-extension.html
Incline Dumbbell Bench Press,incline-dumbbell-bench-press,70,Incline Dumbbell Press; Dumbbell Incline Bench Press; Incline Bench Dumbbell Press; 2. Incline Dumbbell Press; 2. Incline Dumbbell Bench Press; 1. Incline Dumbbell Bench Press; A2. Dumbbell Incline Bench Press; Incline Dumbbell Bench Press - Muscle; 2. Incline Dumbbell Press*; 2a. Incline Dumbbell Press; 4a. Incline Dumbbell Press; 3. Incline Dumbbell Chest Press; Dumbbell Incline Press; 3a. Dumbbell Incline Bench Press; 2a. Incline Dumbbell Bench Press; 3. Incline Dumbbell Bench Press; C. Dumbbell Incline Bench Press; 2. Dumbbell Incline Press; Superset: Incline bench dumbbell press and V-up on bench; Incline Dumbbell Bench Press (triset #1); 1. Incline Bench Dumbbell Press; 2. Dumbbell Incline Bench Press; 2b. Incline Dumbbell Press; A1: Incline Bench Dumbbell Press; 1a. Incline Bench Dumbbell Press,https://www.muscleandstrength.com/exercises/incline-dumbbell-bench-press.html
Lat Pull Down,lat-pull-down,68,"Lat Pull Down - Muscle; Wide Grip Lat Pull Down; 1. Lat Pull Down; V-Bar Pull Downs; Lat Pull Down To Chest; 4. Lat Pull Down; B2. Lat Pull Down; Wide Grip Lat Pulldown (or, Wide Grip Pullup); Superset lat pull down / seated row; Lat pull downs; Front lat pulldown; 2. Lat Pull Down; Single Arm Lat Pull Down; 1. Lat Pull Downs; Band Pulldown; 1a. Wide Grip Lat Pulldowns; Wide-Grip Lat Pulldown; 2c. Lat Pull Down; 3a. Lat Pull Down; 3b. Lat Pull Down; 3c. Lat Pull Down; B1. Lat Pull Down; Lat Pull Down (triset #4); Wide Grip Lat Pulldowns; 1. Lat Pulldown; 1. Pull Down; 1. Pull Downs; 8. Pull Down*; b. Wide Grip Lat Pull Downs; Lat Pulldown (Pulling movement first); Lat Pulldown; 8. Pull Downs*; 5b. Pull Downs; 4. Pulldown",https://www.muscleandstrength.com/exercises/lat-pull-down.html
Military Press,military-press,68,Overhead Press; Standing Overhead Barbell Press; Standing Barbell Press; Push Press; Standing Military Press; 3. Standing Overhead Press; Military Press or Lat Pull Downs; 3. Strict Overhead Press; Military Press (AKA Overhead Press); 5. Standing Military Press; Standing Overhead Press; Alternating Front & Back Shoulder Barbell Press; Military Press Variation - Standing or Seated; Speed Barbell Press; Shoulder Press; Overhead Barbell Press; Barbell Overhead Press; Military Press - Drop 5 Cycle; 4. Military Press; Standing Press; Standing Military Press - Week 2; 5. Standing Barbell Military Press; Military Press / Bench Press (Alternate); * Standing Overhead Press (Same principle as above); 3a. Standing Barbell Press; 1. Military Press; A1: Standing Barbell Shoulder Press,https://www.muscleandstrength.com/exercises/military-press.html
Cable Tricep Extension,tricep-extension,67,"Straight Bar Tricep Extension; Tricep Extension; Tricep Pushdown; Cable Tricep Extensions; Cable Tricep Extension - Burn; Triceps Pushdown; Straight Bar Push-Downs; Cable Tricep Extension (superset #3); Tricep Band Pressdown; 6. Tricep Extensions; Tricep Extensions or Dumbbell Skullcrushers; D2. Tricep Extension; 3. Straight Bar Tricep Pressdown; Straight Bar Pushdown; Standing Tricep Pushdown (Rope, V-bar, or Straight Bar); Straight Bar Tricep Pushdown; Cable Push-Downs; Tricep Cable Extension; Triceps Push Down; 5a. Cable Triceps Press-Down; 5b. Cable Triceps Press-Down; 4a. Cable Triceps Press-Down; Tricep Cable Pushdown; Resistance Band Tricep Extensions with Bar; Tricep Band Extensions; C. Cable Triceps Pushdown; Straight Bar Cable Extension; Cable Tricep Extensions (triset #2); Tricep Extensions; 5b. Cable Pressdown; f. Tricep Push Downs; Tricep Pushdown (Or tricep exercise of your choice); 5c. Straight Bar Pressdown; Cable Tricep Extensions - 3 sec negative",https://www.muscleandstrength.com/exercises/tricep-extension.html
Seated Cable Row,seated-row,63,Seated Row; Cable Row; Seated Cable Row - Burn; 4. Seated Cable Row; 4a. Seated Cable Row; 2. Seated Cable Row; Seated Cable Curl; B2. Seated Cable Row; Seated Rows; Seated row drop set; 5. Seated Cable Rows; Seated rows; 3. Cable Row; 3b. Cable Rows; 4. Wide Grip Seated Row; 3b. Seated Cable Rows; Seated Neutral Grip Band Rows; 1b. Seated Row; 3b. Seated Row; 3a. Seated Cable Row; Seated Cable Rows (triset #3); 2. Cable Row; 3. Seated Cable Row; Wide Grip Seated Row; Cable Rows/Pulldowns (Horizontal rowing movement),https://www.muscleandstrength.com/exercises/seated-row.html
Standing Calf Raise,bodyweight-standing-calf-raise,58,Calf Raises; Dumbbell Standing Calf Raise; Weighted Calf Raise; Standing Calf Raise (superset #2); Standing Calf Machine; Superset: Standing Calf Raise and Seated Calf Raise 3×10 (Rest 30-45 seconds between moves and 60-75 seconds between rounds); Superset: Standing Calf Raise and Seated Calf Raise (Rest 45 seconds between moves and 75 seconds between rounds); 3. Bodyweight Calf Raises; 5a. Calf Raise; Single Leg Dumbbell Calf Raise; 4. Standing Calf Raise; 5. Standing Calf Raise,https://www.muscleandstrength.com/exercises/bodyweight-standing-calf-raise.html
One Arm Dumbbell Row,one-arm-dumbbell-row,57,3. One Arm Dumbbell Row; One Arm Row; One-Arm Dumbbell Row; 2. One Arm Dumbbell Row; Single Arm Dumbbell Row; Dumbbell Row - Muscle; One arm dumbbell row; One Arm Dumbbell Rows; 1-arm Rows (Dumbbell or Barbell); 1 Arm Dumbbell Row; 4b. One Arm Dumbbell Row; 4a. Iso-Dumbbell Rows; 4a. One Arm Dumbbell Row; 2b. One Arm Dumbbell Row; Dead Stop One Arm Row; 1. One Arm Dumbbell Row; 5. Dumbbell Single Arm Row; 3a. Dumbbell Row; Superset: Dumbbell row and leg lift; 6. Wide Unilateral Dumbbell Row; Dumbbell Rows; 3. Dumbbell Row; One-Arm Row (each side),https://www.muscleandstrength.com/exercises/one-arm-dumbbell-row.html
