canonical_name,slug,used_in_n_workout_slots,aliases,exercise_url
Rope Tricep Extension,rope-tricep-extension,41,"Rope Push-Downs; Rope Pressdown; B2. Rope Pressdown; Rope Press Down; 5a. Rope Tricep Pressdown; Rope Cable Tricep Extensions; Rope Tricep Push down; Rope Pulldowns; Rope Triceps Extension; Rope Pushdown; Tricep Rope Extension; Seated Tricep Extensions (Dumbbell, Rope, or EZ Bar); Tricep Rope Pushdown; 5b. Rope Pressdown; Rope Push-Downs (1 rest-pause set for 30 – 40 total rep.s); Cable Tricep Extension (Pump); Cable Triceps Extension; 5b. Triceps Press; Tricep Extension with Rope; Rope Tricep Extensions; 6b. Cable Pressdowns; 2b. Tricep Cable Pressdowns; Rope Push-Downs (4 count at the bottom of each rep); 6. Tricep Rope Pushdown; 8. Rope Pressdown; 1. Rope Pressdown; 5a. Tricep Rope Pushdown; 8. Rope Extension",https://www.muscleandstrength.com/exercises/rope-tricep-extension.html
Chin Up,chin-up,40,"Chin Ups; 2B: Reverse-Grip Chin-Ups; Chin Up (superset #2); A1. Chin Up; 4. Chin Up; Reverse-grip chin-ups; Weighted Chin Ups (Palms towards face); (Weighted) Chin-ups; A5. Chin Up; A3. Chin Up; Close-Grip Chin-Ups (with your body weight, stopping a rep before failure on each set.); Close-Grip Chin-Ups (Try to use the same added weight for all sets.); 2c. Chin Up; Close Grip Chin Up; 11c. Chinups; Superset: Reverse-grip chin-up and neutral-grip dumbbell flat bench press; Chin Ups (superset #2); Weighted Chin Up (superset #2); Chin-Ups; 1. Chinups; 4a. Chinups; Medium-Grip Chin-Up; Close Underhand Grip Pull-ups; 8. Chin Ups; Chin Up (Add weight if you can do 15+ reps); a. Underhand Chin Ups; B1: Reverse-Grip Chin-Up",https://www.muscleandstrength.com/exercises/chin-up.html
Tricep Dip,tricep-dip,40,"Dip; Dips; Tricep Dips; 3. Dips; Parallel Bar Dip Or Pressdown; A2. Tricep Dip; 9. Dips; 2. Dips*; Seated Dip Machine or Regular Dips; 3b. Tricep Dips; Tricep Dips (As many sets as it takes to get 50 total reps with your body weight.); Rack Triceps Press or Parallel Bar Dips; 6b. Tricep Dip; 11b. Dips; 8. Dips w/ Chains; b. Dips; Upright Torso Dips; Tricep Dips (Weighted, if possible); B2: Parallel Bar Triceps Dips; Machine Tricep Dip - 3 sec negative",https://www.muscleandstrength.com/exercises/tricep-dip.html
Romanian Deadlift,romanian-deadlift,39,2. Romanian Deadlift; Dumbbell Romanian Deadlift; 3. Romanian Deadlift; Romanian Deadlift - Power; Romanian Deadlift or Leg Curl  - Muscle; RDL; Barbell Romanian Deadlifts; Romanian Deadlift - Rest 90 seconds between sets; 3. Barbell RDL; 3a. Barbell RDL; 4b. Romanian Deadlift; Romanian Deadlifts; 8. Romanian Deadlift,https://www.muscleandstrength.com/exercises/romanian-deadlift
Bent Over Dumbbell Reverse Fly,bent-over-dumbbell-reverse-fly,39,Bent-Over Rear Lateral Raise; Rear Delt Fly; Rear Lateral Raise; Bent Over Rear Delt Fly; Bent Over Reverse Fly; A3. Rear Delt Raise; C3. Rear Delt Raise; Bent Over Rev Fly; 5. Dumbbell Rear Delt Fly; 3b. Rear Lateral Raise; Rear Delt Fly (Race to 100 Reps); Dumbbell Bent-Over Lateral Raise; 2b. Bent Lateral Raise; 3b. Dumbbell Bent Over Side Raise; 2b. Bent Over Dumbbell Side Raise; Bent Over Rear Lateral Raise; Bent Over Dumbbell Reverse Flyes; e. Rear Delt Flys; 3c. Rear Lateral Raise; Rear Delt Raise; Dumbbell Rear Delt Raise; 3b. Bent Over Rear Delt Fly,https://www.muscleandstrength.com/exercises/bent-over-dumbbell-reverse-fly.html
Hammer Curl,standing-hammer-curl,39,Standing Hammer Curl; Dumbbell Hammer Curl; Hammer Dumbbell Curl; Alternating Hammer Curl; 6. Hammer Curl; 3. Hammer Dumbbell Curl; 4. Dumbbell Hammer Curl; 3a. Hammer Curls; 3. Hammer Curl; Dumbbell Hammer Curls; 5. Dumbbell Hammer Curl; 3b. Hammer Curls; 6. Hammer Curls; 4c. Hammer Curl; 4a. Hammer Curl; 7. Dumbbell Hammer Curls,https://www.muscleandstrength.com/exercises/standing-hammer-curl.html
Bulgarian Split Squat,one-leg-dumbbell-squat-aka-bulgarian-squat,39,Rear-Foot Elevated Bulgarian Split Squats; 3. Bulgarian Split Squat; 3A: Rear-Foot Elevated Bulgarian Split Squats; Bulgarian Split Squats; 3. Dumbbell Split Squat; Split Squat; 6. Bulgarian Split Squat; Dumbbell Bulgarian Split Squat; Single-Leg Kettlebell Split Squat; 3B: Weighted Rear-Foot Elevated Bulgarian Split Squats; Rear Foot Elevated Split Squat; Bulgarian Split Squat (each leg); 4. Dumbbell Split Squat; Superset: Bulgarian split squat and lateral bench jump; Bodyweight Bulgarian Split Squat; Superset: Bulgarian split squat and reverse lunge; Split Squats; 2a. Bulgarian Split Squats; Rear Leg Elevated Split Squat; a. Split Squats; Dumbbell Split Squat w/ Vertical Shin,https://www.muscleandstrength.com/exercises/one-leg-dumbbell-squat-aka-bulgarian-squat.html
Dumbbell Flys,dumbbell-flys,38,Dumbbell Fly; Dumbbell Flys - Burn; Flat Bench Dumbbell Flye; Floor Dumbbell Flys; Dumbbell Floor Fly; 5. Dumbbell Flys; Flat Bench Dumbbell Flys; Dumbbell Chest Fly; A2. Flat DB Fly; 3. Dumbbell Fly; 2. Dumbbell Fly; Band Fly; Dumbbell Flat Bench Chest Flys; 1b) Floor Dumbbell Flys; Dumbbell Flye w/4 count stretch at the bottom; Dumbbell Flye (triset #1); Dumbbell Flye (triset #2); Dumbbell Flye (superset #3); Dumbbell Flye (triset); Dumbbell Flye (4 second stretch); 3a. Flat Dumbbell Fly; 2a. Dumbbell Fly; 3a. Dumbbell Fly,https://www.muscleandstrength.com/exercises/dumbbell-flys.html
Hyperextension,hyperextension,35,Back Extension; Hyperextensions; 6. Hyperextensions (glute focused); Hyper-Extension; 5. Hyperextensions (glute-focused); 3a. Hyperextensions; 3a. Hyperextension; Hyperextensions**; 5. Hyperextension; 2a. Hyperextension; Hyperextenion; 2. Hyperextension; 2b. Back Extension; 3b. 45 Degree Back Extension; 3a. 45 Degree Back Extension; Back Extensions; Hyperextensions with plate; 5. Hyperextensions; 3c. Hyperextensions; 9. Hyperextensions; C2: Hyperextension,https://www.muscleandstrength.com/exercises/hyperextension.html
Weighted Crunch,weighted-crunch,35,"Choose One: Weighted Crunch, Ab Wheel Rollouts, Cable Crunch; 2. DB Crunch (light DB behind head); Weighted Crunch*; 2. DB Crunch (heavy DB, arms extended); 1b. DB Crunch (heavy DB, arms extended); Weighted Crunches",https://www.muscleandstrength.com/exercises/weighted-crunch.html
Walking Lunge,dumbbell-walking-lunge,34,Walking Dumbbell Lunge; Dumbbell Lunge (each side); Walking Lunge +; 1b. Walking Lunge; Dumbbell Walking Lunge *; Superset: Dumbbell Walking Lunge *** (10 steps each leg) and Leg Press (Rest 75-90 seconds between moves and 90-120 seconds between rounds); Walking Lunge (each leg); E. Dumbbell Walking Lunges; 4a. Walking Lunges (with DBs); 1c. Walking Dumbbell Lunge; Walking Dumbbell Lunges; C1. Walking Dumbbell Lunge,https://www.muscleandstrength.com/exercises/dumbbell-walking-lunge.html
Front Squat,front-squat,32,"Barbell Front Squat; Front Squat - Muscle; A1. Front Squat; 2. Front Squat; Speed Front Squat; 3. Front Squat; ATG Front Squat; 1. Front Squat; Giant set: Barbell front squat, single leg calf raise and ab windshield wiper; Front Squats - Week 2; Front or Back Squats (1.5 Reps); a. Front Squat; * Front Squat (Same principle as above); 8. Front Squats; 6. Front Squat",https://www.muscleandstrength.com/exercises/front-squat.html
Dumbbell Lunge,dumbbell-lunge,32,Dumbbell Lunges; Dumbbell Lunge (per leg); 1. Dumbbell Lunge; Lunge; Dumbbell Lunge (superset); Dumbbell Lunges (superset); Dumbbell Lunge (8 reps each leg); Alternating Dumbbell Lunges; 3c. Alternating Forward DB Lunge; 2. Dumbbell Lunge; 1. Walking Lunges; 10. Dumbbell Lunge; 9. Dumbbell Lunge; A1: Weighted Front Lunge; 5. Lunge; Lunges (Alternating) 3; 3a. Dumbbell Lunge,https://www.muscleandstrength.com/exercises/dumbbell-lunge.html
Upright Row,upright-row,31,"Barbell Rows; 11. Upright Row; Upright Row - Muscle; Barbell upright row; Barbell Close Grip Upright Row; 4. Barbell Upright Row; 1a. Upright Row; 5c. Upright Rows; Upright Rows; Upright Barbell Row; Upright Rows or Seated Arnold Press; Close Grip Upright Row (hands 4-6"" apart); Wide Grip Upright Row (hands wider than shoulder width); 3. Upright Row; 3a. Barbell Upright Row",https://www.muscleandstrength.com/exercises/upright-row.html
Standing Dumbbell Press,standing-dumbbell-press,31,Dumbbell Press; Dumbbell Military Press; A2. Dumbbell Shoulder Press; Standing Dumbbell Shoulder Press; 4. Dumbbell Military Press; 4. Standing Dumbbell Press; B1. Dumbbell Shoulder Press; B2. Dumbbell Shoulder Press; 1. Dumbbell Shoulder Press; Dumbbell Overhead Press; 2d. Dumbbell Overhead Press; 3a. Dumbbell Shoulder Press; 2. Dumbbell Shoulder Press; 4. Standing Overhead Dumbbell Press; Superset: Standing dumbbell or barbell shoulder press and plank; Overhead Dumbbell Press; 10. Dumbbell Press*; 3. Standing Dumbbell Press; 2. Dumbbell Military Press; 6. Dumbbell Press*; Dumbbell Standing Shoulder Press; 2a. Standing Dumbbell Press,https://www.muscleandstrength.com/exercises/standing-dumbbell-press.html
Weighted Sit Up,sit-up,30,"Sit Ups; Sit Up; Weighted Sit Ups or Side Bends (Alternate); 8. Sit Ups; Weighted Sit Ups; Sit Up, Stand Up; Weighted Sit Up (with dumbbell on chest); Sit-Up; Assistance: 2 sets of weighted hypers and 4 sets of weighted sit-ups.; Assistance: 3 sets of sit-ups.; 1. Full Situp; 7a. Sit Up; 3a. Sit Up; 4a. Sit Up; Weighted Barbell Sit Ups; D1: Incline 3-way Sit-Up",https://www.muscleandstrength.com/exercises/sit-up.html
Incline Dumbbell Curl,incline-dumbbell-curl,30,"Incline Bench Dumbbell Curl; Incline Dumbbell Curls; Incline Elbows Out Dumbbell Curl; 6a. Incline Dumbbell Curls; Incline Bicep Curl; Incline Dumbbell Curl (superset #2); Incline Dumbbell Curls (superset #2); Incline Dumbbell Curl (5 count twist, then 2 more reps); 4. Incline Dumbbell Curl; Seated Incline Dumbbell Curl; 6. Incline Dumbbell Curl; 4a. Incline Curls",https://www.muscleandstrength.com/exercises/incline-dumbbell-curl.html
Inverted Row,smith-machine-bodyweight-row,29,Inverted Rows; Inverted rows; Bodyweight row; C2. Inverted Row; Smith Machine Pull Ups; Wide Grip Inverted Row; A. Inverted Row; Feet Elevated Inverted Row; Superset: Feet-elevated inverted row and burpees; 3. Inverted Row; Reverse-grip Inverted Row,https://www.muscleandstrength.com/exercises/smith-machine-bodyweight-row.html
Skullcrushers,ez-bar-skullcrusher,28,"Skull Crushers; EZ Bar Skullcrusher; Dumbbell Skullcrusher; D2. Skullcrushers; Skullcrusher - Muscle; EZ Bar Skullcrusher - Muscle; Lying Tricep Extensions; 1b. Skullcrushers; EZ Bar Skull Crushers; Skullcrushers or Seated Two Arm Dumbbell Extensions; 2b. Tricep Skull Crusher; 3 Way Skullcrushers (triset #2); 6. Lying Tricep Extension; 10. Lying Tricep Extension; EZ Bar Extension, Pullover & Press; 7. Skullcrushers",https://www.muscleandstrength.com/exercises/ez-bar-skullcrusher.html
Squat Jumps,bodyweight-jump-squat,28,Jump Squats; Jump Squat; Squat Jump; 1. Dumbbell Sack Squat Jump; Wide Jump Squats; 4b. Squat Jumps; Bodyweight Jump Squat; 3a. Squat Jumps; Box Jump or Jump Squat; 1. Squat Jumps; Tuck Jump; D. Jump Squats; Box or Squat Jump; Bodyweight Squat Jumps; Jump Squat or Box Jump; 4a. Squat Jump,https://www.muscleandstrength.com/exercises/bodyweight-jump-squat.html
Close Grip Push Up,close-grip-push-up,28,Diamond Push-Ups; Feet Elevated Diamond Push-Ups; Close Grip Push Ups; Diamond Push-Up; Close-Grip Push-Up; Close-Grip push-ups; 5. Close Grip Push Up; Diamond Push Up; Close Grip Pushup; Superset: Close-grip push-up and barbell spider curl; Close Grip Pushups; 4. Diamond Pushups; Narrow Grip Push Ups (2/1/1/3 Tempo); Diamon Pushups; 2c. Diamond Push Up,https://www.muscleandstrength.com/exercises/close-grip-push-up.html
Chest Dip,chest-dip,28,"Chest Dips; Supinated Pull Ups/Dips (Superset); Chest Dips (weighted if possible); A2. Bodyweight Dips; A4. Dip; A2. Dip; 2A: Parallel Bar Dips or Bench Dips; 2A: Parallel Bar or Bench Dips; 4b. Chest Dips; 2b. Dip; Chest Dip**; Chest Dips or bench dip; Chest Dip (superset #3); Chest Dip (triset); Superset: Parallel bar dip and inverted row; Dips (2/1/3 Tempo); Parallel Bar Dip; Weighted Chest Dip; 4. Dips; Chest Dip (Weighted, if possible)",https://www.muscleandstrength.com/exercises/chest-dip.html
Skullcrusher,lying-tricep-extension,27,Lying Tricep Extension; Lying Barbell Tricep Extension; Dumbbell Skullcrushers or Tricep Extensions; Lying Tricep Extension (skullcrusher); Lying Dumbbell Triceps Extension; A. Skullcrusher; 7. Lying Tricep Extensions; 3. Lying Tricep Extensions*; 2. Lying Triceps Extension; 2a. Lying Tricep Extension; 1. Lying Barbell Extensions*,https://www.muscleandstrength.com/exercises/lying-tricep-extension.html
Hip Thrust,barbell-hip-thrust,26,Barbell Hip Thrust; Barbell Hip Thrust (superset); 5. Barbell Hip Thrust; Barbell Hip Thrusts; 5. Hip Thrust; 3. Dumbbell Hip Thrust; Smith Machine Hip Thrust; 4. Barbell Hip Thrust; 4a. Barbell Hip Thrust,https://www.muscleandstrength.com/exercises/barbell-hip-thrust
Cable Crunch,cable-crunch,26,Cable Crunches; Cable crunch; Cable Crunch - Burn; 11. Cable Crunch; Cable Rope Crunch; 4. Rope Crunch; 9. Rope Crunch; Cable Weighted Crunch; Cable Crunch - 3 sec negative,https://www.muscleandstrength.com/exercises/cable-crunch.html
Sumo Deadlifts,sumo-deadlift,26,Sumo Deadlift; 2. Sumo Deadlift; 1. Sumo Deadlift; 3. Sumo Deadlift; 2a. Sumo Deadlifts; Heavy Sumo Stance Deadlifts - Week 2,https://www.muscleandstrength.com/exercises/sumo-deadlift
Barbell Shoulder Press,seated-shoulder-press,25,Seated Overhead Press; Seated Barbell Press; Seated Barbell Press - Power; Seated Overhead Press - Power; Seated Shoulder Press (1 1/2 Reps); 1. Seated Military Press; Seated Military Press; Seated Military Press - Week 1; Bottom Position Seated Military Press - Week 2; * Seated Military Press (SPLASH Principle); Seated Shoulder Press,https://www.muscleandstrength.com/exercises/seated-shoulder-press.html
Seated Leg Curl,seated-leg-curl,25,Seated Leg Curls; Hamstring Curls; Seated Leg Curl (Rest-Pause); 1. Seated Leg Curl; 2. Seated Leg Curl; B2. Seated Leg Curl; Seated Hamstring Curl; 4b. Seated Leg Curl; Seated or Lying Leg Curl,https://www.muscleandstrength.com/exercises/seated-leg-curl
Side Plank,side-hover,24,Side Plank (Left Hand Down); Side Plank (Right Hand Down); Side Planks; 3a. Side Bridge; Side Hover; 3. Side Bridge; 1c. Side Bridge; 5b. Side Plank; 5c. Side Plank; 4b. Side Plank; 2. Side Plank; Side Plank (Max time per side); Side Plank Holds (either on forearms or fully extended),https://www.muscleandstrength.com/exercises/side-hover.html
Ab Wheels or Barbell Rollout,abdominal-barbell-rollouts,23,Barbell Rollout; Ab Wheel; Ab Wheel Rollouts; Ab Wheel Roll Out; Barbell or Ab Wheel Roll Outs; 3b. Ab Wheel or Barbell Roll-Out; 4. Barbell Rollouts; Ab Wheel or Barbell Rollouts; 2b. Ab Wheels or Barbell Rollout; Ab Wheel Roll Outs or Weighted Sit Ups; Barbell Ab Rollout; Barbell Rollouts; Barbell Ab Roll Outs; a. Barbell Rollout or Ab Wheel; e. Ab Wheel or Barbell Rollout,https://www.muscleandstrength.com/exercises/abdominal-barbell-rollouts.html
Pec Dec,pec-dec,23,Machine Fly; Pec Deck Fly; Pec Deck; Pec Dec - Burn; 4. Machine Fly; Pec Dec Fly; Seated Machine Fly; 4. Pec-Deck; E. Machine Chest Fly; C1. Machine Fly; 3. Pec Deck Fly; 3. Machine Chest Fly; Machine Pec Dec; Pec Dec or Cable Crossover; 1. Pec Deck; 2. Machine Pec Deck; Pec Dec - 3 sec negative,https://www.muscleandstrength.com/exercises/pec-dec.html
Hack Squat,hack-squat,22,Hack Squats; Machine Hack Squat; Hack Squat or Leg Press; A1. Hack Squats; C1. Hack Squat; 4b. Hack Squats; 1. Hack Squat,https://www.muscleandstrength.com/exercises/hack-squat.html
Cable Curl,cable-curl,21,Cable Bicep Curl; 5a. Cable Curl; D1. Cable Curl; 8. Standing Cable Curl; Straight Bar Low Cable Curl; Cable Curls; V-bar Cable Curls; 5a. Two Arm Cable Curl; Cable Curls - 3 sec negative,https://www.muscleandstrength.com/exercises/cable-curl.html
Bicycle Crunch,abdominal-air-bike,21,Ab Bicycle; 5A: Bicycle Crunches; Bicycles; Abdominal Air Bike (see instructions); Abdominal Air Bike; Bicycle Crunches; 4. Bicycles; 7c. Bicycle Crunch; 3. Bicycles; 1b. Bicycle Crunches; 5a. Bicycle Crunch,https://www.muscleandstrength.com/exercises/abdominal-air-bike.html
Incline Dumbbell Fly,incline-dumbbell-flys,20,Incline Dumbbell Flys; Incline Bench Dumbbell Fly; A1. Incline Dumbbell Fly; Incline Chest Fly; A1. Incline DB Fly; Incline DB Fly; B1. Incline DB Fly; Incline Dumbbell Flye; Incline Dumbbell Flyes; Low Incline Dumbbell Flys; Incline Flye; Dumbbell Incline Fly,https://www.muscleandstrength.com/exercises/incline-dumbbell-flys.html
Cable Face Pull,cable-face-pull,20,Face Pull; Cable Rope High Pull; Single Arm Face Pull; 4. High Rope Face Pull; 3c. Rope Face Pull; C. Cable Face Pulls; Superset: Pulley rope or band face pull and Russian med ball twist (optional on incline bench); 3. Cable Face Pull; 6. Face Pull; 3a. Face Pulls; Face Pulls,https://www.muscleandstrength.com/exercises/cable-face-pull
Oblique Crunch,side-crunch,19,Side Oblique Crunch (each side); Side Crunch (each side); Oblique Crunches; 3. Oblique Crunch; 3b. Side Crunch; 4c. Side Crunch; 4. Side Crunches; Side Crunch,https://www.muscleandstrength.com/exercises/side-crunch.html
Barbell Shrug,barbell-shrug,19,Barbell Shrugs; Power Barbell Shrug - Muscle; 5a. Barbell Shrugs; Power Shrug; High Rack Pull & Power Shrug Combo; 6. Barbell Shrug; 3b. Barbell Shrugs; Power Barbell Shrugs (Explosive); Power Barbell Shrugs - Power; Power Barbell Shrugs - Burn; g. Barbell Shrugs; Shrug,https://www.muscleandstrength.com/exercises/barbell-shrug.html
Weighted Pull Ups/Weighted Dips (Superset),weighted-pull-up,19,1. Weighted Pull Up; 1B: Weighted Medium-Grip Pull-Ups; Weighted Pull Ups - Week 2,https://www.muscleandstrength.com/exercises/weighted-pull-up
EZ Bar Curl,ez-bar-curl,18,EZ Bar Curls; 5. EZ Bar Curl; A1. EZ Bar Curl; D1. EZ Bar Curl; 1. EZ Bar Curls; EZ Bar Cheat Curls (Make sure your biceps do most of the work!); EZ Bar Close-Grip Curls; EZ Bar Curl (1 rest-pause set for 20-30 total reps.); 6. EZ Bar Curl,https://www.muscleandstrength.com/exercises/ez-bar-curl.html
Leg Press Calf Raise,45-degress-calf-press,18,45 Degree Calf Raise  - Burn; Calf Press; A1. Leg Press Calf Raise; Leg Press Calf Raise - Burn; 6. Leg Press Calf Raise; 45 Degree Calf Press; 2. Toe Raise on Leg Press; 45 Degree Leg Press Calf Raise; 4a. Calf Press; Leg Press Calf Press; 4a. Leg Press Calf Raise,https://www.muscleandstrength.com/exercises/45-degress-calf-press.html
Machine Shoulder Press,machine-shoulder-press,17,Shoulder Machine Press; Shoulder Press Machine; Seated Machine Press; 4. Machine Shoulder Press; 4. Machine Overhead Press,https://www.muscleandstrength.com/exercises/machine-shoulder-press
Preacher Curl,dumbbell-preacher-curl,17,Dumbbell Preacher Curl; Two Arm Dumbbell Preacher Curl,https://www.muscleandstrength.com/exercises/dumbbell-preacher-curl.html
Walking Lunges,bodyweight-walking-lunge,17,Bodyweight Walking Lunge; Walking lunges; 2. Walking Lunge; 2b. Bodyweight Walking Lunge; 11e. Walking Lunges; Walking Lunge (Reps are for each leg); 1b. Bodyweight Lunges; 3. Walking Lunge; 2a. Walking Lunges; 4. Walking Lunges (bodyweight); Walking lunge,https://www.muscleandstrength.com/exercises/bodyweight-walking-lunge.html
Glute Bridge,barbell-glute-bridge,17,Barbell Glute Bridge; Dumbbell Glute Bridge; 5. Barbell Glute Bridge; (Weighted) Glute Bridge; Dumbbell or Banded Glute Bridge; 2. Barbell Glute Bridge,https://www.muscleandstrength.com/exercises/barbell-glute-bridge
Bodyweight Glute Bridge,bodyweight-glute-bridge,17,3b. Glute Bridge; 2b. Glute Bridge; B3. Bodyweight Glute Bridge; 5. Glute Bridges; 1d. Glute Bridge; 4a. Bodyweight Hip Thrust; A. Glute Bridge; 10. Glute Bridge; Superset: Glute/ham raise (assisted if needed) and decline sit-up; b. Glute Bridge,https://www.muscleandstrength.com/exercises/bodyweight-glute-bridge
Kettlebell Swing,kettlebell-swing,17,Kettlebell Swings; Two-arm kettlebell swing; KB Swing; 1. Kettlebell Swing; D. Kettlebell Swings; 7. Kettlebell Swing; 4b. Kettlebell Swings,https://www.muscleandstrength.com/exercises/kettlebell-swing
Underhand Bent Over Row,reverse-grip-bent-over-row,17,3. Underhand Barbell Row; Underhand Barbell Row; Reverse-Grip Bent-Over Row; 3a. Underhand Barbell Row; Yates Row; Yates Row - Week 2 (Any rep range can be used); 4. Reverse Grip Bent Over Row; Underhand Grip Bent Over Row; Underhand Grip Barbell Bent Row,https://www.muscleandstrength.com/exercises/reverse-grip-bent-over-row.html
Decline Sit Ups,decline-situp,17,Decline Sit Up; Decline Bench Sit-Up; Decline sit ups (weighted); Weighted Decline Sit Ups - Muscle; 5. Decline Sit Up; 7a. Decline Situp; 3d. Decline Sit Up; Decline Weighted Crunches; 1a. Decline Sit Up,https://www.muscleandstrength.com/exercises/decline-situp.html
Dumbbell Side Bends,dumbbell-side-bends,17,3b. Side Bends w/ DB; Dumbbell Side Bend; 4. Side Bends w/ DB; 1d. Side Bends w/ DB; 7b. Side Bends; Obliques Curl; Weighted Side Bend; Standing Side Bend; 5b. Dumbbell Side Bench; Side Bends,https://www.muscleandstrength.com/exercises/dumbbell-side-bends.html
Two Arm Seated Dumbbell Extension,two-arm-dumbbell-extension,16,Seated Dumbbell Tricep Extension; 7. Seated Dumbbell Extension; Dumbbell Tricep Extensions; Two-Arm Overhead Dumbbell Extension; Dumbbell Tricep Extension; Overhead Dumbbell Extensions; Seated Dumbbell Extension; Two Arm Dumbbell Overhead Tricep Extension; 6. Dumbbell Tricep Extension; Overhead Dumbbell Extension; 5. Overhead Dumbbell Extension; Overhead Triceps Press with DB; Two Arm Seated Overhead Dumbbell Extension,https://www.muscleandstrength.com/exercises/two-arm-dumbbell-extension.html
Reverse Lunge,dumbbell-rear-lunge,16,Dumbbell Rear Lunge; Dumbbell Reverse Lunge; 4a. Dumbbell Reverse Lunge; A2. Rear Lunge; 2. Dumbbell Rear Lunge; Reverse Lunges (with DB or Barbell); Reverse Lunge From Deficit; A3: Weighted Reverse Lunge; 1b. Reverse Dumbbell Lunge,https://www.muscleandstrength.com/exercises/dumbbell-rear-lunge.html
EZ Bar Preacher Curl,ez-bar-preacher-curl,16,Preacher Curl (superset #3); Close Grip Preacher Curl; Preacher Curl (any version); 1. EZ Bar Preacher Curl; Preacher EZ Bar Curls (Same protocol as the incline skull crushers.); EZ Bar Preacher Curl (Pump); Scott Preacher Curls (superset); EZ Bar Preacher Curl (triset #1); Concentration/Preacher Curl,https://www.muscleandstrength.com/exercises/ez-bar-preacher-curl.html
T-Bar Row,bent-over-row,16,T Bar Row; 2a. T-Bar Row; C2. Landmine T-Bar Row; 3. Landmine T-Bar Row; T-Bar Landmine Row; 4. Heavy T-Bar Row; One Arm Barbell Row; b. T-Bar Row,https://www.muscleandstrength.com/exercises/bent-over-row.html
Tricep Kickback,tricep-kickback,16,Dumbbell Tricep Kickback; Seated Triceps Kickbacks; 2 Arm Dumbbell Kickback; Dumbbell Kickback; Dumbbell Tricep Kickbacks; Dumbbell Kickbacks; 3b. Tricep Iso-Kickbacks; 5. Dumbbell Kickbacks (alternating grips); 2b. Dumbbell Kickbacks; Dumbbell Triceps Kickbacks,https://www.muscleandstrength.com/exercises/tricep-kickback.html
Feet Elevated Push-Ups,decline-push-up,16,1A: Feet Elevated Push-Ups; Push Up with Feet Elevated or Feet on Wall Push Up; Feet-elevated push-ups; 1A: Feet Elevated Push-Ups w/ Bands; Feet Elevated Push Up; 4. Feet Elevated Pushup; 1d) Push Up with Feet Elevated or Feet on Wall Push Up; C. Decline Push Ups; Superset: Feet-elevated push-up and T-bar or barbell row; Feet-Elevated Push Ups (5/1/1 Tempo); Feet-elevated Pushup,https://www.muscleandstrength.com/exercises/decline-push-up
Single Leg Calf Raises,one-leg-standing-calf-raise,16,Single-Leg Calf Raise (per leg); 4B: Single Leg Calf Raises; Single Leg Calf Raise; 4A: Weighted Single Leg Calf Raise; Single-Leg Calf Raise; C2: Single Leg Calf Raise,https://www.muscleandstrength.com/exercises/one-leg-standing-calf-raise.html
Dumbbell Floor Press,dumbbell-floor-press,16,1. Floor Press; 1a) Dumbbell Floor Press; 6. Dumbbell Floor Press,https://www.muscleandstrength.com/exercises/dumbbell-floor-press.html
Bench Dip,tricep-bench-dip,15,Tricep Bench Dip; Bench Dips (superset #2); Bench Dips (superset #1); Bench Dip (superset #1); 4d. Bench Dips; E2. Bench Dip; Triceps bench or parallel bar dip; E2. Bench Dips,https://www.muscleandstrength.com/exercises/tricep-bench-dip.html
Mountain Climbers,rotating-mountain-climber,15,Mountain Climber; Rotating Mountain Climber; 3b. Mountain Climbers,https://www.muscleandstrength.com/exercises/rotating-mountain-climber
Arnold Press,standing-arnold-press,15,,https://www.muscleandstrength.com/exercises/standing-arnold-press.html
Dumbbell Step Up,dumbbell-step-up,15,1. Dumbbell Step Up; 4. Dumbbell Step-Up; 3a. Dumbbell Step-Up; 2c. Step Ups; 3b. Step-ups w/ DB or Barbell; 2c. Alternating Dumbbell Bench Step-Ups; 3. Dumbbell Step Up; 2a. Dumbbell Step Ups; Dumbbell Step Ups,https://www.muscleandstrength.com/exercises/dumbbell-step-up.html
Seated Lateral Raise,seated-dumbbell-lateral-raise,15,Seated Dumbbell Lateral Raise; Seated Dumbbell Lateral Raises; 1b. Seated Lateral Raise; 3. Seated Dumbbell Lateral Raise; 5. Seated Dumbbell Side Lateral; Seated Side Lateral Raise; 4a. Seated Lateral Raise; 6. Seated Lateral Raise,https://www.muscleandstrength.com/exercises/seated-dumbbell-lateral-raise.html
Concentration Curl,concentration-cur,14,1. Concentration Curl; Bicep Concentration Curl; 3. Hammer Concentration Curls; 11. Concentration Curl; Dumbbell Concentration Curl,https://www.muscleandstrength.com/exercises/concentration-cur.html
Alternating Dumbbell Curls,alternating-standing-dumbbell-curl,14,D2. Standing Alternating Dumbbell Curl; 2. Alternating Dumbbell Curls; Standing Alternating Dumbbell Curl; 5a. Alternating Dumbbell Curl; 3b. Dumbbell Alternating Curl; 3a. Dumbbell Iso-Curls; 5a. Standing Alternating Dumbbell Curl; 5a. Standing Alternate Bicep Curl; Dumbbell Curl (Or bicep exercise of your choice); 4. Alternate Dumbbell Curl; Dumbbell Curls - 3 sec negative,https://www.muscleandstrength.com/exercises/alternating-standing-dumbbell-curl.html
