# equipment,fully equipped gym,# fitness_goal,muscle building,# workout_type,split,# gender,both,# training_level,advanced,# days_per_week,4
filename,title,url
workouts__22-4-day-split-bodybuilding-split-routine.html__32b9a4f835.html,4 Day Split Bodybuilding Split Routine | Muscle & Strength,https://www.muscleandstrength.com/workouts/22-4-day-split-bodybuilding-split-routine.html
workouts__scott-herman-german-volume-training-upper-lower-workout__1cb37c6671.html,Scott Herman’s German Volume Training Upper/Lower Workout,https://www.muscleandstrength.com/workouts/scott-herman-german-volume-training-upper-lower-workout
