# equipment,home / small gym,# fitness_goal,muscle building,# workout_type,single muscle group,# gender,both,# training_level,beginner,# days_per_week,2
filename,title,url
content__best-forearm-workout-strength-and-size__61ff44e287.html,The Best Forearm Workout for Strength and Size | Muscle & Strength,https://www.muscleandstrength.com/content/best-forearm-workout-strength-and-size
workouts__core-destroyer-8-week-home-ab-workout__ca387e73aa.html,Core Destroyer: 8 Week At Home Ab Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/core-destroyer-8-week-home-ab-workout
workouts__dumbbell-bodyweight-chest-workout__09bec268e8.html,3 Dumbbell and Bodyweight Chest Workouts (No Bench Needed!) | Muscle & Strength,https://www.muscleandstrength.com/workouts/dumbbell-bodyweight-chest-workout
