# equipment,fully equipped gym,# fitness_goal,muscle building,# workout_type,single muscle group,# gender,both,# training_level,beginner,# days_per_week,2
filename,title,url
workouts__6-week-arm-builder-workout-plan__60a9651935.html,6 Week Arm Builder Workout Plan | Muscle & Strength,https://www.muscleandstrength.com/workouts/6-week-arm-builder-workout-plan
workouts__barbell-hack-squats-workouts-quads__dcde790d96.html,Barbell Hack Squat Workouts For Bigger Quads | Muscle & Strength,https://www.muscleandstrength.com/workouts/barbell-hack-squats-workouts-quads
