# equipment,fully equipped gym,# fitness_goal,muscle building,# workout_type,split,# gender,men,# training_level,advanced,# days_per_week,4
filename,title,url
workouts__10-week-mass-building-program.html__804e618824.html,10 Week Mass Building Program | Muscle & Strength,https://www.muscleandstrength.com/workouts/10-week-mass-building-program.html
workouts__4-day-advanced-upper-lower-workout-program-to-build-mass__cdec2d2ea5.html,4 Day Advanced Upper/Lower Workout Program to Build Mass,https://www.muscleandstrength.com/workouts/4-day-advanced-upper-lower-workout-program-to-build-mass
