# equipment,home / small gym,# fitness_goal,muscle building,# workout_type,single muscle group,# gender,both,# training_level,intermediate,# days_per_week,1
filename,title,url
workouts__8-week-giant-shoulders__592e5b2484.html,Giant Sets For Giant Boulder Shoulders In 8 Weeks,https://www.muscleandstrength.com/workouts/8-week-giant-shoulders
workouts__guns-of-glory-workout__d85520ffc1.html,Guns of Glory: An Arm Training Workout Program,https://www.muscleandstrength.com/workouts/guns-of-glory-workout
workouts__monster-traps-workout.html__f55fdd8140.html,Monster Traps Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/monster-traps-workout.html
workouts__quarter-rep-method__de8f0214f0.html,Build Your Lagging Chest with the 1/4 Rep Pump Out Method,https://www.muscleandstrength.com/workouts/quarter-rep-method
