# equipment,home / small gym,# fitness_goal,muscle building,# workout_type,single muscle group,# gender,both,# training_level,beginner,# days_per_week,1
filename,title,url
workouts__34-beginner-shoulder-workout.html__1ad9b2f050.html,Beginner Shoulder Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/34-beginner-shoulder-workout.html
workouts__39-beginner-bicep-workout.html__1eedaa1a7e.html,Beginner Bicep Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/39-beginner-bicep-workout.html
workouts__41-beginner-forearm-workout.html__1402510604.html,Beginner Forearm Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/41-beginner-forearm-workout.html
workouts__6-exercise-home-dumbbell-leg-workout__3f8f1ffdbe.html,6 Exercise Home Dumbbell Workout For Legs | Muscle & Strength,https://www.muscleandstrength.com/workouts/6-exercise-home-dumbbell-leg-workout
workouts__core-strength-rotational-anti-rotational-movements__1dcdb472aa.html,Core Strength Road Map: Mastering Rotation and Stability,https://www.muscleandstrength.com/workouts/core-strength-rotational-anti-rotational-movements
workouts__steves-titanic-tricep-builder-workout.html__f7adc80318.html,Steve's Titanic Tricep Builder Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/steves-titanic-tricep-builder-workout.html
