# equipment,fully equipped gym,# fitness_goal,muscle building,# workout_type,single muscle group,# gender,both,# training_level,beginner,# days_per_week,1
filename,title,url
workouts__35-beginner-chest-workout.html__6b64d69721.html,Beginner Chest Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/35-beginner-chest-workout.html
workouts__38-beginner-leg-workout.html__eb65fc1ef0.html,Beginner Leg Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/38-beginner-leg-workout.html
workouts__40-beginner-back-workout.html__8b4af47875.html,Beginner Back Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/40-beginner-back-workout.html
workouts__8-week-bicep-tricep-builder__d259d319bf.html,Awesome Arms: 8 Weeks to Better Biceps and Triceps | Muscle & Strength,https://www.muscleandstrength.com/workouts/8-week-bicep-tricep-builder
workouts__the-butt-builder.html__f2cc4ae84d.html,The Butt Builder Workout: Women's Workout For Bigger Glutes | Muscle & Strength,https://www.muscleandstrength.com/workouts/the-butt-builder.html
